"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1143","Brazil","PARANA","TUNAS DO PARANA","Campinhos State Park","-24.97389000000","-49.08583000000","Not-Precise",37,NA,888,"17.7",1511,"Atlantic Forests","Araucaria moist forests",NA,"Serra do Mar","Y","Park"
"bat1144","Brazil","SANTA CATARINA","PEDRAS GRANDES","Forest fragment","-28.48361000000","-49.25528000000","Precise",7,"4",285,"18.7",1470,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1145","Brazil","SANTA CATARINA","PEDRAS GRANDES","Forest fragment","-28.48361000000","-49.25528000000","Precise",7,"4",285,"18.7",1470,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1146","Brazil","SANTA CATARINA","PEDRAS GRANDES","Forest fragment","-28.48361000000","-49.25528000000","Precise",7,"4",285,"18.7",1470,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1147","Brazil","RIO DE JANEIRO","CACHOEIRAS DE MACACU","The Reserva Ecologica de Guapiacu REGUA ","-22.43139000000","-42.75556000000","Precise",5500,NA,51,"23.1",1361,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1148","Brazil","PERNAMBUCO","MORENO","Santa Beatriz do Carnijo Private Natural Heritage Reserve ","-8.11861000000","-35.09222000000","Precise",25,NA,80,"24.7",1283,"Atlantic Forests","Pernambuco coastal forests","Dense Ombrophilous Forest","Pernambuco","Y",NA
"bat1149","Brazil","MINAS GERAIS","ITAMONTE","Itatiaia National Park","-22.37528000000","-44.74417000000","Not-Precise",30000,"5",2043,"12.3",2186,"Atlantic Forests","Campos Rupestres montane savanna","Dense Ombrophilous Forest","Interior Forests","Y","Park"
"bat1150","Brazil","MINAS GERAIS","ITAMONTE","Itatiaia National Park","-22.37528000000","-44.74417000000","Not-Precise",30000,"1",2043,"12.3",2186,"Atlantic Forests","Campos Rupestres montane savanna","Dense Ombrophilous Forest","Interior Forests","Y","Park"
"bat1151","Brazil","MINAS GERAIS","ITAMONTE","Itatiaia National Park","-22.37528000000","-44.74417000000","Not-Precise",30000,"2",2043,"12.3",2186,"Atlantic Forests","Campos Rupestres montane savanna","Dense Ombrophilous Forest","Interior Forests","Y","Park"
"bat1152","Brazil","MINAS GERAIS","ITAMONTE","Itatiaia National Park","-22.37528000000","-44.74417000000","Not-Precise",30000,"3",2043,"12.3",2186,"Atlantic Forests","Campos Rupestres montane savanna","Dense Ombrophilous Forest","Interior Forests","Y","Park"
"bat1153","Brazil","SAO PAULO","SAO CARLOS","Riparian Forest near to Trilha da Natueza and ABASC UFSCar","-21.97105000000","-47.88408100000","Precise",672,"856",859,"19.5",1442,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","N",NA
"bat1154","Argentina","MISIONES","ARISTOBULO DEL VALLE","Reserva Privada de Usos Multiples Valle del Cuna Piru in Misiones","-27.12417300000","-54.95045400000","Not-Precise",6144,"228",323,"19.8",1622,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,"Y","Private Reserve"
"bat1155","Argentina","MISIONES","APOSTOLES","Misiones e Corrientes","-27.90000000000","-55.75000000000","Not-Precise",NA,NA,177,"20.6",1690,NA,"Southern Cone Mesopotamian savanna",NA,NA,NA,NA
"bat1156","Argentina","MISIONES","PUERTO IGUAZU","Parque Nacional Iguazu","-25.67962500000","-54.45448500000","Not-Precise",67000,"200",180,"21.2",1711,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,"Y","National reserve"
"bat1157","Paraguay","CANINDEYU","VILLA YGATMI","Region within and adjacent to the Reserva Natural del Bosque Mbaracayu","-24.12266900000","-55.44716100000","Not-Precise",6445,"140-450",231,"22.2",1631,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,"Y","Private Reserve"
"bat1158","Brazil","SAO PAULO","SANTA BARBARA DOESTE","Jacomassa1 1998 regeneration","-22.82055100000","-47.41778300000","Precise",NA,"550",546,"20.4",1244,"Atlantic Forests","Alto Parana Atlantic forests",NA,"Interior Forests",NA,NA
"bat1159","Brazil","SAO PAULO","IRACEMAPOLIS","Jacomassa2 1987 regeneration Iracemapolis","-22.56917400000","-47.50527500000","Precise",NA,"610",621,"20.3",1292,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1160","Brazil","SAO PAULO","COSMOPOLIS","Jacomassa3 1995 or 60 regeneration Cosmopolis","-22.67112100000","-47.20500300000","Precise",NA,"570",563,"20.1",1272,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests",NA,NA
"bat1161","Brazil","SAO PAULO","RIO CLARO","Jacomassa4 native rio claro","-22.35892800000","-47.47808500000","Precise",NA,"660",666,"20",1326,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1162","Brazil","SAO PAULO","RIO CLARO","Jacomassa5 regenerating unesp campus","-22.39637900000","-47.54448200000","Precise",NA,"620",628,"20.2",1301,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1163","Brazil","RIO DE JANEIRO","RIO DE JANEIRO","Acude da Solidao","-22.96145300000","-43.41187300000","Not-Precise",NA,NA,13,"23.3",1221,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1164","Brazil","RIO DE JANEIRO","PATY DO ALFERES","Belvedere","-22.44000000000","-43.42000000000","Not-Precise",NA,NA,688,"19.6",1645,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1165","Brazil","RIO DE JANEIRO","MIGUEL PEREIRA","Cacaria","-22.53000000000","-43.51000000000","Not-Precise",NA,NA,481,"20.7",1646,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
